Add to Cart Browsing,Age Group,Browsing Frequency,Cart Abandonment Factors,Cart Completion Frequency,Gender,Improvement Areas,Personalized Recommendation Frequency,Product Search Method,Purchase Categories,Purchase Frequency,Recommendation Helpfulness,Review Helpfulness,Review Left,Review Reliability,Saveforlater Frequency,Search Result Exploration,Service Appreciation,Timestamp,Age,Customer Reviews Importance,Personalized Recommendation Frequency1,Rating Accuracy,Shopping Satisfaction
No,16-25,Few times a week,Found a better price elsewhere,Often,Female,Customer service responsiveness,Yes,Filter,Beauty and Personal Care,Multiple times a week,Sometimes,Yes,Yes,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/07 9:25:35 AM GMT+5:30,23,3,3,3,3
No,16-25,Few times a month,Found a better price elsewhere,Rarely,Female,Customer service responsiveness,Sometimes,Filter,Clothing and Fashion,Few times a month,No,Yes,Yes,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/07 9:27:03 AM GMT+5:30,23,3,3,3,3
Maybe,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Prefer not to say,Customer service responsiveness,Yes,categories,Clothing and Fashion,Once a week,No,Yes,Yes,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/07 9:28:09 AM GMT+5:30,23,3,3,3,3
Maybe,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,Yes,Filter,Beauty and Personal Care,Once a week,No,Yes,No,Moderately,Sometimes,Multiple pages,Competitive prices,2023/06/07 9:32:38 AM GMT+5:30,21,3,3,3,3
Maybe,16-25,Few times a month,High shipping costs,Often,Prefer not to say,Product quality and accuracy,Yes,Keyword,Clothing and Fashion,Once a week,Sometimes,Yes,Yes,Heavily,Always,Multiple pages,Competitive prices,2023/06/07 10:56:11 AM GMT+5:30,23,3,3,3,3
Yes,26-35,Few times a week,High shipping costs,Sometimes,Others,Product quality and accuracy,Yes,Filter,Beauty and Personal Care,Few times a month,No,No,Yes,Occasionally,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 10:57:14 AM GMT+5:30,26,3,3,2,3
Maybe,26-35,Few times a week,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,Yes,Filter,Beauty and Personal Care,Few times a month,Sometimes,Sometimes,Yes,Moderately,Never,Multiple pages,Product recommendations,2023/06/07 10:58:27 AM GMT+5:30,30,3,3,3,3
Yes,36-45,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,Sometimes,categories,Clothing and Fashion,Once a month,Sometimes,Yes,No,Heavily,Often,Multiple pages,Wide product selection,2023/06/07 11:41:56 AM GMT+5:30,37,1,4,2,3
Yes,26-35,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Shipping speed and reliability,Yes,categories,Beauty and Personal Care,Once a month,Yes,Yes,No,Occasionally,Often,Multiple pages,Competitive prices,2023/06/07 11:44:55 AM GMT+5:30,26,3,2,3,3
Yes,46-55,Rarely,High shipping costs,Always,Female,Shipping speed and reliability,Sometimes,others,others,Once a month,Yes,Sometimes,Yes,Rarely,Always,First page,User-friendly website/app interface,2023/06/07 11:46:52 AM GMT+5:30,46,5,1,1,1
No,36-45,Rarely,others,Never,Female,Product quality and accuracy,No,others,others,Less than once a month,Yes,Sometimes,No,Never,Never,Multiple pages,User-friendly website/app interface,2023/06/07 11:47:07 AM GMT+5:30,36,4,4,4,4
Yes,36-45,Rarely,Changed my mind or no longer need the item,Sometimes,Female,Customer service responsiveness,Sometimes,categories,Home and Kitchen,Less than once a month,Yes,Yes,No,Moderately,Rarely,Multiple pages,Wide product selection,2023/06/07 11:47:44 AM GMT+5:30,40,3,3,2,2
Yes,36-45,Few times a month,Found a better price elsewhere,Always,Male,Shipping speed and reliability,Sometimes,Keyword,Clothing and Fashion,Less than once a month,Yes,Yes,Yes,Rarely,Rarely,Multiple pages,Wide product selection,2023/06/07 11:47:44 AM GMT+5:30,41,1,5,2,3
Maybe,26-35,Rarely,Changed my mind or no longer need the item,Sometimes,Male,Scrolling option would be much better than going to next page,No,Keyword,others,Less than once a month,No,Sometimes,Yes,Moderately,Never,Multiple pages,Wide product selection,2023/06/07 11:48:25 AM GMT+5:30,34,2,4,3,2
Maybe,26-35,Multiple times a day,Changed my mind or no longer need the item,Often,Female,Product quality and accuracy,No,Keyword,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a month,No,Yes,Yes,Heavily,Always,Multiple pages,User-friendly website/app interface,2023/06/07 11:54:03 AM GMT+5:30,29,1,5,3,3
Yes,26-35,Few times a week,Changed my mind or no longer need the item,Sometimes,Male,Product quality and accuracy,Sometimes,categories,Clothing and Fashion,Once a month,Yes,Yes,No,Rarely,Rarely,Multiple pages,Product recommendations,2023/06/07 12:01:15 PM GMT+5:30,35,3,2,3,3
Maybe,26-35,Rarely,Found a better price elsewhere,Sometimes,Male,Reducing packaging waste,No,Keyword,Clothing and Fashion,Less than once a month,Yes,Yes,Yes,Moderately,Rarely,Multiple pages,Product recommendations,2023/06/07 12:13:39 PM GMT+5:30,32,5,3,1,3
Yes,36-45,Few times a week,Found a better price elsewhere,Often,Male,Product quality and accuracy,Sometimes,Filter,Beauty and Personal Care;Clothing and Fashion;others,Few times a month,Yes,Yes,No,Heavily,Never,Multiple pages,Wide product selection,2023/06/07 12:23:07 PM GMT+5:30,41,1,1,2,2
Yes,26-35,Multiple times a day,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,Yes,Keyword,Home and Kitchen;others,Few times a month,Yes,Yes,Yes,Moderately,Sometimes,Multiple pages,Wide product selection,2023/06/07 12:27:12 PM GMT+5:30,35,1,2,3,2
Yes,36-45,Few times a week,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,Yes,Keyword,Groceries and Gourmet Food;Home and Kitchen;others,Few times a month,Yes,Sometimes,Yes,Moderately,Often,Multiple pages,Competitive prices,2023/06/07 12:29:31 PM GMT+5:30,36,4,3,2,1
Yes,46-55,Few times a week,Found a better price elsewhere,Often,Female,Customer service responsiveness,No,Keyword,others,Once a week,Sometimes,Yes,No,Moderately,Often,Multiple pages,Wide product selection,2023/06/07 12:30:22 PM GMT+5:30,46,5,5,3,4
Yes,36-45,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Customer service responsiveness,Sometimes,Filter,Home and Kitchen,Few times a month,Sometimes,No,No,Rarely,Sometimes,First page,Wide product selection,2023/06/07 12:36:04 PM GMT+5:30,39,2,1,2,3
Yes,46-55,Few times a week,Changed my mind or no longer need the item,Often,Male,Customer service responsiveness,Yes,Filter,Beauty and Personal Care,Few times a month,Yes,Yes,Yes,Occasionally,Often,Multiple pages,Wide product selection,2023/06/07 12:39:08 PM GMT+5:30,48,1,2,2,1
No,16-25,Few times a week,Found a better price elsewhere,Sometimes,Male,Customer service responsiveness,No,Keyword,others,Few times a month,Yes,Yes,No,Occasionally,Sometimes,Multiple pages,Wide product selection,2023/06/07 12:44:27 PM GMT+5:30,25,5,3,3,4
Yes,36-45,Few times a week,Found a better price elsewhere,Rarely,Male,Quality of product is very poor according to the big offers,Yes,categories,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Once a month,Sometimes,Yes,No,Heavily,Never,Multiple pages,User-friendly website/app interface,2023/06/07 12:50:13 PM GMT+5:30,38,1,3,3,3
Maybe,26-35,Few times a week,others,Sometimes,Male,Product quality and accuracy,Yes,categories,Beauty and Personal Care;Clothing and Fashion;Home and Kitchen,Once a month,Yes,Sometimes,No,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/07 1:00:08 PM GMT+5:30,26,1,1,3,3
Yes,36-45,Few times a week,High shipping costs,Sometimes,Female,Product quality and accuracy,No,categories,Beauty and Personal Care,Less than once a month,No,Sometimes,Yes,Rarely,Often,Multiple pages,User-friendly website/app interface,2023/06/07 1:00:09 PM GMT+5:30,40,4,3,4,3
Yes,46-55,Multiple times a day,Found a better price elsewhere,Sometimes,Female,I have no problem with Amazon yet. But others tell me about the refund issues,Sometimes,Keyword,Groceries and Gourmet Food;Home and Kitchen;others,Few times a month,Yes,Yes,Yes,Heavily,Always,Multiple pages,Wide product selection,2023/06/07 1:04:07 PM GMT+5:30,49,1,3,3,2
Yes,26-35,Few times a week,Changed my mind or no longer need the item,Sometimes,Male,Product quality and accuracy,Yes,categories,Clothing and Fashion,Less than once a month,Yes,Yes,Yes,Occasionally,Sometimes,Multiple pages,Wide product selection,2023/06/07 1:05:41 PM GMT+5:30,30,5,3,4,1
Maybe,16-25,Rarely,High shipping costs,Rarely,Female,Customer service responsiveness,No,categories,Clothing and Fashion,Less than once a month,Sometimes,Yes,No,Moderately,Sometimes,Multiple pages,Competitive prices,2023/06/07 1:25:26 PM GMT+5:30,24,1,2,3,2
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Shipping speed and reliability,Yes,Keyword,Beauty and Personal Care;Home and Kitchen,Once a month,Yes,Yes,No,Heavily,Rarely,First page,Wide product selection,2023/06/07 1:33:51 PM GMT+5:30,23,1,2,2,1
Yes,26-35,Few times a month,Found a better price elsewhere,Sometimes,Male,Product quality and accuracy,Sometimes,Keyword,Clothing and Fashion,Once a month,Yes,Yes,No,Occasionally,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 1:40:37 PM GMT+5:30,27,4,3,3,4
Maybe,26-35,Rarely,Changed my mind or no longer need the item,Sometimes,Male,Product quality and accuracy,No,Keyword,others,Less than once a month,Yes,Yes,No,Moderately,Rarely,Multiple pages,Competitive prices,2023/06/07 1:49:06 PM GMT+5:30,28,2,5,2,2
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Rarely,Male,Product quality and accuracy,No,Keyword,others,Less than once a month,Sometimes,Sometimes,Yes,Moderately,Often,First page,User-friendly website/app interface,2023/06/07 2:09:49 PM GMT+5:30,23,3,2,3,2
Yes,46-55,Few times a week,Found a better price elsewhere,Always,Female,Product quality and accuracy,Yes,categories,Home and Kitchen,Few times a month,Yes,Yes,No,Occasionally,Often,Multiple pages,Product recommendations,2023/06/07 2:11:50 PM GMT+5:30,46,1,1,2,2
Maybe,26-35,Rarely,others,Rarely,Male,Customer service responsiveness,Sometimes,Keyword,others,Less than once a month,Sometimes,Sometimes,No,Heavily,Often,First page,Product recommendations,2023/06/07 2:16:43 PM GMT+5:30,27,2,3,3,3
Yes,16-25,Rarely,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,No,categories,Home and Kitchen,Once a month,Sometimes,Yes,Yes,Moderately,Often,Multiple pages,Competitive prices,2023/06/07 2:19:05 PM GMT+5:30,20,1,3,2,3
Yes,16-25,Few times a month,Changed my mind or no longer need the item,Rarely,Female,Shipping speed and reliability,No,Keyword,Beauty and Personal Care;Clothing and Fashion,Less than once a month,Yes,Yes,No,Heavily,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 2:22:14 PM GMT+5:30,23,4,4,3,4
Yes,26-35,Multiple times a day,Found a better price elsewhere,Often,Female,Customer service responsiveness,Yes,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Once a week,Sometimes,Yes,Yes,Moderately,Never,Multiple pages,Wide product selection,2023/06/07 2:23:02 PM GMT+5:30,29,1,2,2,2
Maybe,26-35,Few times a month,High shipping costs,Sometimes,Female,Product quality and accuracy,Yes,others,Clothing and Fashion,Less than once a month,Yes,Yes,Yes,Moderately,Sometimes,First page,Wide product selection,2023/06/07 2:33:56 PM GMT+5:30,29,1,1,1,3
Yes,56-65,Few times a week,Found a better price elsewhere,Often,Female,Customer service responsiveness,No,categories,Home and Kitchen,Few times a month,Yes,Yes,Yes,Heavily,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 2:40:30 PM GMT+5:30,57,1,4,3,3
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,Keyword,Beauty and Personal Care,Less than once a month,Yes,Yes,No,Moderately,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 3:13:52 PM GMT+5:30,25,1,4,3,1
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Product quality and accuracy,No,categories,Beauty and Personal Care;others,Few times a month,Sometimes,Yes,No,Occasionally,Rarely,Multiple pages,Product recommendations,2023/06/07 3:56:01 PM GMT+5:30,23,1,1,3,2
Yes,5-15,Few times a week,others,Sometimes,Male,Product quality and accuracy,No,Keyword,Clothing and Fashion;others,Once a month,Sometimes,Sometimes,No,Heavily,Rarely,First page,Wide product selection,2023/06/07 3:58:52 PM GMT+5:30,15,1,3,3,2
Yes,36-45,Few times a month,Found a better price elsewhere,Often,Male,Product quality and accuracy,Yes,Keyword,Clothing and Fashion;others,Less than once a month,Sometimes,Yes,Yes,Moderately,Sometimes,Multiple pages,Wide product selection,2023/06/07 4:10:33 PM GMT+5:30,39,2,3,3,2
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,No,categories,Beauty and Personal Care;Clothing and Fashion,Once a month,Sometimes,Yes,No,Heavily,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 4:46:12 PM GMT+5:30,23,4,3,4,3
Yes,16-25,Few times a week,High shipping costs,Sometimes,Female,Shipping speed and reliability,No,Keyword,Beauty and Personal Care,Less than once a month,Yes,Yes,Yes,Heavily,Rarely,Multiple pages,Competitive prices,2023/06/07 5:26:20 PM GMT+5:30,25,5,3,3,3
Yes,36-45,Few times a week,Changed my mind or no longer need the item,Always,Female,Reducing packaging waste,Sometimes,categories,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Multiple times a week,Sometimes,Yes,Yes,Heavily,Often,Multiple pages,Wide product selection,2023/06/07 5:58:12 PM GMT+5:30,37,1,2,3,2
Maybe,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,No,categories,Beauty and Personal Care;Home and Kitchen,Few times a month,No,No,Yes,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/07 6:15:10 PM GMT+5:30,23,3,3,2,2
No,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,No,Filter,Clothing and Fashion;Home and Kitchen,Few times a month,No,Sometimes,No,Rarely,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 6:16:51 PM GMT+5:30,23,3,3,3,3
Maybe,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,Sometimes,Filter,Clothing and Fashion;Home and Kitchen,Once a month,No,No,Yes,Occasionally,Sometimes,First page,Product recommendations,2023/06/07 6:17:42 PM GMT+5:30,23,3,3,3,3
No,16-25,Few times a month,Found a better price elsewhere,Often,Female,Customer service responsiveness,No,categories,Beauty and Personal Care,Once a week,No,Sometimes,No,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/07 6:18:37 PM GMT+5:30,23,2,3,3,2
Maybe,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,Filter,Clothing and Fashion;Home and Kitchen,Once a month,No,No,Yes,Moderately,Rarely,Multiple pages,Competitive prices,2023/06/07 6:20:00 PM GMT+5:30,21,4,2,2,4
No,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,Filter,Clothing and Fashion,Once a week,Yes,No,No,Moderately,Sometimes,Multiple pages,Product recommendations,2023/06/07 6:20:53 PM GMT+5:30,21,3,4,2,1
No,26-35,Few times a week,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,Filter,Beauty and Personal Care,Once a week,No,No,Yes,Occasionally,Often,Multiple pages,Competitive prices,2023/06/07 6:28:35 PM GMT+5:30,34,2,2,3,2
No,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,Filter,Clothing and Fashion;Home and Kitchen,Few times a month,No,No,No,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/07 6:29:14 PM GMT+5:30,23,3,3,3,1
No,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,No,Filter,Beauty and Personal Care,Once a week,No,Sometimes,No,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/07 6:29:53 PM GMT+5:30,23,3,3,3,2
No,16-25,Few times a month,Changed my mind or no longer need the item,Sometimes,Prefer not to say,Customer service responsiveness,No,categories,Clothing and Fashion,Few times a month,No,No,Yes,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/07 6:30:43 PM GMT+5:30,23,3,3,3,1
No,26-35,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Customer service responsiveness,No,categories,Beauty and Personal Care,Once a week,No,Sometimes,No,Rarely,Sometimes,Multiple pages,Wide product selection,2023/06/07 6:31:23 PM GMT+5:30,27,2,3,2,1
Maybe,16-25,Rarely,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,No,categories,others,Less than once a month,Sometimes,Sometimes,Yes,Occasionally,Never,Multiple pages,Wide product selection,2023/06/07 7:17:13 PM GMT+5:30,23,3,3,3,2
Maybe,46-55,Rarely,Changed my mind or no longer need the item,Rarely,Female,Product quality and accuracy,No,categories,Clothing and Fashion,Less than once a month,Sometimes,Yes,No,Heavily,Always,Multiple pages,Product recommendations,2023/06/07 8:20:23 PM GMT+5:30,47,1,5,3,2
Yes,46-55,Rarely,Found a better price elsewhere,Often,Male,Product quality and accuracy,No,Keyword,others,Less than once a month,Yes,Yes,Yes,Heavily,Never,Multiple pages,Wide product selection,2023/06/07 8:41:53 PM GMT+5:30,54,1,1,3,3
Maybe,46-55,Few times a month,Changed my mind or no longer need the item,Rarely,Prefer not to say,Reducing packaging waste,No,Filter,Beauty and Personal Care;Home and Kitchen,Once a week,No,No,No,Moderately,Sometimes,Multiple pages,User-friendly website/app interface,2023/06/07 9:16:59 PM GMT+5:30,46,4,3,3,3
No,36-45,Few times a week,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,categories,others,Once a month,No,Yes,No,Moderately,Rarely,Multiple pages,Competitive prices,2023/06/07 9:17:50 PM GMT+5:30,38,2,3,1,3
Maybe,36-45,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Reducing packaging waste,Sometimes,Filter,Groceries and Gourmet Food;Home and Kitchen,Few times a month,No,No,Yes,Moderately,Always,Multiple pages,Product recommendations,2023/06/07 9:18:29 PM GMT+5:30,45,3,1,2,2
No,26-35,Few times a week,Changed my mind or no longer need the item,Rarely,Male,Reducing packaging waste,Yes,others,Clothing and Fashion,Once a week,No,No,Yes,Occasionally,Often,Multiple pages,Product recommendations,2023/06/07 9:18:55 PM GMT+5:30,34,4,4,3,2
Maybe,36-45,Few times a month,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,Sometimes,categories,Clothing and Fashion,Once a week,Sometimes,No,Yes,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/07 9:19:32 PM GMT+5:30,44,2,5,4,3
No,16-25,Few times a month,Changed my mind or no longer need the item,Always,Female,Customer service responsiveness,Sometimes,Filter,Clothing and Fashion;Home and Kitchen;others,Few times a month,No,No,Yes,Rarely,Sometimes,Multiple pages,Competitive prices,2023/06/07 9:21:10 PM GMT+5:30,23,2,2,3,3
No,26-35,Few times a week,Changed my mind or no longer need the item,Often,Female,Customer service responsiveness,Yes,Filter,Beauty and Personal Care,Once a week,No,No,No,Moderately,Sometimes,First page,Product recommendations,2023/06/07 9:21:50 PM GMT+5:30,32,3,4,4,5
Yes,16-25,Multiple times a day,Changed my mind or no longer need the item,Always,Female,Product quality and accuracy,Yes,Keyword,Beauty and Personal Care,Once a week,No,Yes,Yes,Occasionally,Always,Multiple pages,Product recommendations,2023/06/07 9:22:24 PM GMT+5:30,23,3,2,4,3
Maybe,16-25,Few times a week,Found a better price elsewhere,Always,Female,Customer service responsiveness,No,Filter,Clothing and Fashion,Few times a month,No,No,Yes,Rarely,Often,First page,Product recommendations,2023/06/07 9:23:39 PM GMT+5:30,23,2,2,3,2
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Always,Male,Product quality and accuracy,No,Keyword,Groceries and Gourmet Food;Clothing and Fashion;Home and Kitchen,Once a week,Yes,Yes,Yes,Heavily,Always,Multiple pages,Wide product selection,2023/06/07 9:23:41 PM GMT+5:30,23,1,1,1,1
Yes,16-25,Few times a week,Found a better price elsewhere,Often,Female,Customer service responsiveness,No,categories,Clothing and Fashion,Few times a month,Yes,Yes,Yes,Moderately,Always,Multiple pages,User-friendly website/app interface,2023/06/07 9:35:08 PM GMT+5:30,19,2,4,2,2
Yes,16-25,Few times a month,Found a better price elsewhere,Sometimes,Female,Shipping speed and reliability,No,Keyword,Beauty and Personal Care;others,Less than once a month,No,Yes,No,Heavily,Always,Multiple pages,Wide product selection,2023/06/07 9:35:23 PM GMT+5:30,23,5,5,4,1
No,16-25,Few times a week,Found a better price elsewhere,Sometimes,Female,Customer service responsiveness,No,Keyword,Beauty and Personal Care;Clothing and Fashion,Few times a month,Yes,No,Yes,Moderately,Always,Multiple pages,Product recommendations,2023/06/07 9:53:52 PM GMT+5:30,23,3,2,3,3
No,26-35,Few times a month,Changed my mind or no longer need the item,Sometimes,Male,Customer service responsiveness,Yes,Filter,Beauty and Personal Care;Home and Kitchen,Once a week,No,No,Yes,Occasionally,Often,Multiple pages,Product recommendations,2023/06/07 9:54:24 PM GMT+5:30,34,3,3,3,3
No,26-35,Few times a week,Found a better price elsewhere,Sometimes,Female,Reducing packaging waste,No,Keyword,Clothing and Fashion,Once a week,No,Sometimes,No,Rarely,Sometimes,Multiple pages,Product recommendations,2023/06/07 9:54:56 PM GMT+5:30,34,3,3,2,4
Yes,26-35,Few times a week,Found a better price elsewhere,Often,Female,Product quality and accuracy,No,Keyword,Home and Kitchen;others,Once a month,No,Sometimes,Yes,Moderately,Sometimes,Multiple pages,Wide product selection,2023/06/07 10:07:42 PM GMT+5:30,34,4,3,4,4
No,16-25,Few times a week,Found a better price elsewhere,Often,Prefer not to say,Customer service responsiveness,No,categories,Beauty and Personal Care,Few times a month,Yes,No,No,Occasionally,Often,Multiple pages,Wide product selection,2023/06/07 10:09:17 PM GMT+5:30,23,3,2,2,3
Maybe,36-45,Rarely,High shipping costs,Always,Female,Customer service responsiveness,Sometimes,Keyword,Clothing and Fashion,Once a week,Sometimes,No,Yes,Moderately,Rarely,Multiple pages,Competitive prices,2023/06/07 10:09:54 PM GMT+5:30,45,2,3,2,3
No,16-25,Few times a week,Changed my mind or no longer need the item,Always,Female,Shipping speed and reliability,Yes,Filter,Groceries and Gourmet Food,Once a week,No,Sometimes,Yes,Rarely,Rarely,First page,Competitive prices,2023/06/07 10:10:26 PM GMT+5:30,23,3,2,2,1
No,26-35,Few times a month,Changed my mind or no longer need the item,Sometimes,Female,Customer service responsiveness,No,Filter,Clothing and Fashion;Home and Kitchen,Once a week,Sometimes,No,Yes,Moderately,Often,First page,Competitive prices,2023/06/07 10:10:58 PM GMT+5:30,34,2,3,3,3
Yes,36-45,Few times a week,Found a better price elsewhere,Always,Female,Reducing packaging waste,No,categories,Beauty and Personal Care,Once a week,No,No,No,Occasionally,Often,First page,Product recommendations,2023/06/07 10:11:28 PM GMT+5:30,37,2,3,3,3
No,26-35,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Customer service responsiveness,No,Filter,Clothing and Fashion,Once a week,No,No,Yes,Occasionally,Often,Multiple pages,Competitive prices,2023/06/07 10:16:22 PM GMT+5:30,34,2,2,3,2
Maybe,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Others,Customer service responsiveness,Sometimes,Filter,Groceries and Gourmet Food,Once a month,Sometimes,Sometimes,No,Never,Sometimes,Multiple pages,Product recommendations,2023/06/07 10:16:54 PM GMT+5:30,23,3,3,3,3
No,36-45,Rarely,others,Sometimes,Female,Reducing packaging waste,No,Keyword,others,Once a week,No,No,No,Occasionally,Often,Multiple pages,User-friendly website/app interface,2023/06/07 10:17:40 PM GMT+5:30,45,2,3,3,3
Yes,26-35,Few times a week,Found a better price elsewhere,Rarely,Male,User interface,Yes,Keyword,Clothing and Fashion,Less than once a month,Yes,Yes,Yes,Never,Rarely,Multiple pages,Wide product selection,2023/06/07 10:20:09 PM GMT+5:30,26,5,3,1,3
No,26-35,Few times a week,Changed my mind or no longer need the item,Often,Female,Customer service responsiveness,No,categories,Beauty and Personal Care;Clothing and Fashion,Few times a month,No,No,No,Moderately,Often,Multiple pages,Competitive prices,2023/06/07 10:21:00 PM GMT+5:30,34,2,2,2,4
No,16-25,Few times a week,Changed my mind or no longer need the item,Rarely,Prefer not to say,Product quality and accuracy,Yes,Filter,Beauty and Personal Care;Clothing and Fashion,Once a week,No,No,Yes,Occasionally,Rarely,Multiple pages,Product recommendations,2023/06/07 10:35:06 PM GMT+5:30,21,3,3,3,5
Yes,16-25,Few times a week,Found a better price elsewhere,Sometimes,Prefer not to say,Customer service responsiveness,Sometimes,Keyword,Clothing and Fashion;Home and Kitchen,Few times a month,Sometimes,No,No,Moderately,Often,Multiple pages,Product recommendations,2023/06/07 10:38:51 PM GMT+5:30,23,3,4,3,3
Maybe,36-45,Multiple times a day,Changed my mind or no longer need the item,Often,Male,Irrelevant product suggestions,No,Keyword,Groceries and Gourmet Food;Beauty and Personal Care;Clothing and Fashion;Home and Kitchen;others,Multiple times a week,Yes,Yes,Yes,Heavily,Never,Multiple pages,Wide product selection,2023/06/07 10:39:21 PM GMT+5:30,41,1,3,3,4
Maybe,26-35,Few times a week,Found a better price elsewhere,Rarely,Female,Customer service responsiveness,Sometimes,Filter,Beauty and Personal Care;Clothing and Fashion,Few times a month,No,No,No,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/07 10:40:10 PM GMT+5:30,32,4,3,3,3
Maybe,16-25,Few times a week,Found a better price elsewhere,Rarely,Female,Shipping speed and reliability,Sometimes,Filter,Beauty and Personal Care,Once a week,Sometimes,No,No,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/07 10:41:10 PM GMT+5:30,23,3,4,3,3
Maybe,16-25,Few times a week,Changed my mind or no longer need the item,Sometimes,Female,Product quality and accuracy,Yes,Keyword,Beauty and Personal Care,Multiple times a week,Sometimes,Sometimes,No,Occasionally,Always,Multiple pages,Product recommendations,2023/06/07 10:42:24 PM GMT+5:30,22,3,4,3,4
No,46-55,Rarely,High shipping costs,Rarely,Female,Shipping speed and reliability,Yes,Keyword,Clothing and Fashion,Multiple times a week,Sometimes,No,No,Moderately,Rarely,First page,Wide product selection,2023/06/07 10:44:42 PM GMT+5:30,48,4,1,2,2
Maybe,26-35,Few times a week,Found a better price elsewhere,Rarely,Male,Customer service responsiveness,Yes,Filter,Groceries and Gourmet Food,Few times a month,Sometimes,Yes,Yes,Occasionally,Sometimes,Multiple pages,Competitive prices,2023/06/07 10:58:04 PM GMT+5:30,32,3,3,3,3
Maybe,26-35,Few times a month,High shipping costs,Sometimes,Prefer not to say,Reducing packaging waste,Sometimes,categories,Beauty and Personal Care,Few times a month,No,Sometimes,No,Occasionally,Sometimes,Multiple pages,Product recommendations,2023/06/07 10:59:06 PM GMT+5:30,28,3,3,3,3
Maybe,16-25,Few times a week,Changed my mind or no longer need the item,Rarely,Female,Reducing packaging waste,Yes,Filter,Beauty and Personal Care,Once a week,Sometimes,Sometimes,No,Occasionally,Rarely,First page,Product recommendations,2023/06/07 11:00:15 PM GMT+5:30,23,3,3,3,3
Yes,16-25,Few times a week,Changed my mind or no longer need the item,Rarely,Female,Customer service responsiveness,No,categories,Beauty and Personal Care,Few times a month,Sometimes,No,Yes,Occasionally,Always,First page,Product recommendations,2023/06/07 11:01:42 PM GMT+5:30,23,3,3,3,3
